Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2021/01/04,A,A,S,CBOE,63
2021/01/04,AA,AA,S,CBOE,1959
2021/01/04,AAL,AAL,S,CBOE,29334
2021/01/04,AAOI,AAOI,S,CBOE,295
2021/01/04,AAP,AAP,S,CBOE,27
2021/01/04,AAPL,AAPL,S,CBOE,233193
2021/01/04,AAU,AAU,S,CBOE,89
2021/01/04,AAWW,AAWW,S,CBOE,23
2021/01/04,AAXN,AAXN,S,CBOE,503
2021/01/04,AB,AB,S,CBOE,7
2021/01/04,ABB,ABB,S,CBOE,70
2021/01/04,ABBV,ABBV,S,CBOE,3311
2021/01/04,ABBV1,ABBV,S,CBOE,4
2021/01/04,ABC,ABC,S,CBOE,496
2021/01/04,ABCB,ABCB,S,CBOE,20
2021/01/04,ABEO,ABEO,S,CBOE,6
2021/01/04,ABEV,ABEV,S,CBOE,58
2021/01/04,ABMD,ABMD,S,CBOE,61
2021/01/04,ABNB,ABNB,S,CBOE,2614
2021/01/04,ABR,ABR,S,CBOE,573
2021/01/04,ABT,ABT,S,CBOE,1128
2021/01/04,ABUS,ABUS,S,CBOE,463
2021/01/04,ACAD,ACAD,S,CBOE,29
2021/01/04,ACB,ACB,S,CBOE,14103
2021/01/04,ACB1,ACB,S,CBOE,306
2021/01/04,ACC,ACC,S,CBOE,8
2021/01/04,ACCD,ACCD,S,CBOE,4
2021/01/04,ACES,ACES,S,CBOE,11
2021/01/04,ACGL,ACGL,S,CBOE,15
2021/01/04,ACH,ACH,S,CBOE,2
2021/01/04,ACHC,ACHC,S,CBOE,40
2021/01/04,ACI,ACI,S,CBOE,924
2021/01/04,ACIA,ACIA,S,CBOE,467
2021/01/04,ACIW,ACIW,S,CBOE,8
2021/01/04,ACLS,ACLS,S,CBOE,38
2021/01/04,ACM,ACM,S,CBOE,666
2021/01/04,ACMR,ACMR,S,CBOE,75
2021/01/04,ACN,ACN,S,CBOE,477
2021/01/04,ACOR1,ACOR,S,CBOE,6
2021/01/04,ADAP,ADAP,S,CBOE,71
2021/01/04,ADBE,ADBE,S,CBOE,5092
2021/01/04,ADI,ADI,S,CBOE,151
2021/01/04,ADM,ADM,S,CBOE,262
2021/01/04,ADMA,ADMA,S,CBOE,291
2021/01/04,ADMP,ADMP,S,CBOE,33
2021/01/04,ADNT,ADNT,S,CBOE,11
2021/01/04,ADP,ADP,S,CBOE,265
2021/01/04,ADPT,ADPT,S,CBOE,24
2021/01/04,ADS,ADS,S,CBOE,115
2021/01/04,ADSK,ADSK,S,CBOE,501
2021/01/04,ADT,ADT,S,CBOE,54
2021/01/04,ADTN,ADTN,S,CBOE,11
2021/01/04,ADV,ADV,S,CBOE,1
2021/01/04,ADVM,ADVM,S,CBOE,2
2021/01/04,AEE,AEE,S,CBOE,246
2021/01/04,AEIS,AEIS,S,CBOE,37
2021/01/04,AEL,AEL,S,CBOE,10
2021/01/04,AEM,AEM,S,CBOE,1164
2021/01/04,AEO,AEO,S,CBOE,861
2021/01/04,AEP,AEP,S,CBOE,126
2021/01/04,AER,AER,S,CBOE,34
2021/01/04,AERI,AERI,S,CBOE,3
2021/01/04,AES,AES,S,CBOE,95
2021/01/04,AEZS,AEZS,S,CBOE,27
2021/01/04,AFI,AFI,S,CBOE,1
2021/01/04,AFL,AFL,S,CBOE,238
2021/01/04,AFMD,AFMD,S,CBOE,37
2021/01/04,AG,AG,S,CBOE,2826
2021/01/04,AGCO,AGCO,S,CBOE,10
2021/01/04,AGEN,AGEN,S,CBOE,12
2021/01/04,AGG,AGG,S,CBOE,75
2021/01/04,AGI,AGI,S,CBOE,344
2021/01/04,AGIO,AGIO,S,CBOE,39
2021/01/04,AGLE,AGLE,S,CBOE,1000
2021/01/04,AGNC,AGNC,S,CBOE,1879
2021/01/04,AGO,AGO,S,CBOE,20
2021/01/04,AGQ,AGQ,S,CBOE,1099
2021/01/04,AGRX,AGRX,S,CBOE,58
2021/01/04,AGS,AGS,S,CBOE,90
2021/01/04,AHCO,AHCO,S,CBOE,13
2021/01/04,AHT,AHT,S,CBOE,317
2021/01/04,AI,AI,S,CBOE,2833
2021/01/04,AIA,AIA,S,CBOE,2
2021/01/04,AIG,AIG,S,CBOE,415
2021/01/04,AIMC,AIMC,S,CBOE,58
2021/01/04,AINV,AINV,S,CBOE,122
2021/01/04,AIV,AIV,S,CBOE,482
2021/01/04,AJG,AJG,S,CBOE,8
2021/01/04,AJRD,AJRD,S,CBOE,64
2021/01/04,AJX,AJX,S,CBOE,6
2021/01/04,AKAM,AKAM,S,CBOE,320
2021/01/04,AKBA,AKBA,S,CBOE,207
2021/01/04,AL,AL,S,CBOE,22
2021/01/04,ALB,ALB,S,CBOE,102
2021/01/04,ALBO,ALBO,S,CBOE,12
2021/01/04,ALC,ALC,S,CBOE,1
2021/01/04,ALDX,ALDX,S,CBOE,10
2021/01/04,ALEC,ALEC,S,CBOE,8
2021/01/04,ALEX,ALEX,S,CBOE,2
2021/01/04,ALGN,ALGN,S,CBOE,317
2021/01/04,ALGT,ALGT,S,CBOE,9
2021/01/04,ALK,ALK,S,CBOE,356
2021/01/04,ALKS,ALKS,S,CBOE,5
2021/01/04,ALL,ALL,S,CBOE,77
2021/01/04,ALLE,ALLE,S,CBOE,10
2021/01/04,ALLO,ALLO,S,CBOE,22
2021/01/04,ALLT,ALLT,S,CBOE,90
2021/01/04,ALLY,ALLY,S,CBOE,190
2021/01/04,ALNY,ALNY,S,CBOE,32
2021/01/04,ALRM,ALRM,S,CBOE,259
2021/01/04,ALSN,ALSN,S,CBOE,1
2021/01/04,ALT,ALT,S,CBOE,180
2021/01/04,ALXN,ALXN,S,CBOE,177
2021/01/04,AM,AM,S,CBOE,143
2021/01/04,AMAT,AMAT,S,CBOE,2928
